Index,Name,Year,Nudity,Violence,Language,Genre,Budget,Plot Sentiment,IMDB Rating
258,Whiskey Tango Foxtrot,2016,6,7,10,14 2 4,35000000,0.9041,6.6
259,The Young Messiah,2016,2,6,2,4 9,18500000,-0.9894,5.6
260,American Ultra,2015,3,8,10,1 2,28000000,-0.9951,6.1
261,Anomalisa,2015,8,1,8,12 2 4,8000000,0.8126,7.3
262,Ant-Man,2015,1,5,4,1 6 2,130000000,-0.9974,7.3
263,Avengers: Age of Ultron,2015,3,6,3,1 6 5,250000000,-0.9966,7.3
264,Blackhat,2015,5,6,5,1 3 8,70000000,-0.9983,5.4
265,Black or White,2015,2,4,5,4,9000000,-0.9758,6.6
266,Black Sea,2015,2,6,10,6 4 8,10880000,-0.997,6.4
267,Brooklyn,2015,6,2,5,4 13,11000000,-0.7086,7.5
268,Captive,2015,3,5,3,1 3 4,2000000,-0.8834,5.4
269,Carol,2015,7,3,5,4 13,11800000,-0.6705,7.2
270,Cop Car,2015,0,6,6,3 8,800000,-0.9969,6.3
271,Crimson Peak,2015,7,7,5,4 9 10,55000000,-0.9985,6.5
272,Cut Bank,2015,2,6,7,3 4 8,5000000,-0.9948,6.1
273,Daddy's Home,2015,5,4,5,2 7,50000000,0.9834,6.2
274,The Danish Girl,2015,8,4,1,14 4 13,15000000,0.9757,7.1
275,Do You Believe?,2015,3,5,2,4,2300000,-0.7003,6.1
276,Entourage,2015,8,3,10,2,30000000,0.9697,6.6
277,Everest,2015,1,5,1,1 6 14,55000000,-0.9987,7.1
278,Ex Machina,2015,6,5,6,4 5 8,15000000,0.4117,7.7
279,Grandma,2015,4,2,7,2 4,600000,-0.9948,6.7
280,The Hateful Eight,2015,6,9,7,3 4 11,44000000,-0.9995,7.8
281,Hitman: Agent 47,2015,2,7,5,1 3 8,35000000,-0.9948,5.7
282,Hotel Transylvania 2,2015,2,4,2,12 2 7,80000000,0.9987,6.7
283,Inside Out,2015,1,3,1,12 6 2,175000000,1,8.1
284,Irrational Man,2015,6,5,5,2 4 13,11000000,-0.9983,6.6
285,I Saw the Light,2015,6,3,5,14 4 16,13000000,-0.25,5.7
286,It Follows,2015,8,7,5,10 11 8,1000000,-0.9806,6.8
287,Joy,2015,2,3,5,14 4,60000000,0.9852,6.6
288,Jurassic World,2015,2,7,4,1 6 5,150000000,-0.9948,7
289,The Lazarus Effect,2015,2,6,5,10 11 5,3300000,-0.9983,5.2
290,Legend,2015,4,9,10,14 3 4,30000000,-0.9991,6.9
291,Little Boy,2015,1,5,2,4 14 17,20000000,-0.9851,7.4
292,The Loft,2015,7,6,9,11 13 8,14000000,-0.9969,6.3
293,Mad Max: Fury Road,2015,5,8,5,1 6 5,150000000,-0.9989,8.1
294,Magic Mike XXL,2015,8,2,10,2 4 16,14800000,0.9883,5.6
295,Maps to the Stars,2015,10,7,9,2 4,15000000,-0.9954,6.2
296,Max,2015,1,4,2,6 4 7,20000000,-0.9928,6.7
297,Minions,2015,2,4,2,12 6 2,74000000,0.99,6.4
298,Mission: Impossible - Rogue Nation,2015,3,6,4,1 6 8,150000000,-0.9948,7.4
299,Mississippi Grind,2015,4,5,7,2 4,6000000,0.9915,6.4
300,Mortdecai,2015,6,6,5,1 6 2,60000000,-0.9945,5.5
301,99 Homes,2015,3,6,10,4,8000000,-0.9765,7.1
302,Paddington,2015,1,3,3,6 2 7,55000000,-0.9948,7.2
303,The Perfect Guy,2015,5,6,7,3 4 10,12000000,-0.9902,5.6
304,Pitch Perfect 2,2015,4,3,5,2 16,29000000,0.9718,6.4
305,Pixels,2015,4,4,4,1 2 9,88000000,-0.9825,5.5
